# Image v6	v7	Tigany Eyeball	Chris Eyeball
I038878	0.7734	1.0204	0	3
I038879	1.178	0.8495	0	3
I038880	0.6671	0.7393	0	3
I038881	1.1363	1.3762	0	3
I038882	0.8907	1.1277	0	3
I038883	0.8292	0.6941	0	1
I038884	0.6423	0.9351	1	3
I038885	1.1039	0.7186	0	3
I038886	0.9474	1.1821	0	3
I038887	0.756	1.0818	0	3
I038888	0.03187	0.08958	1	0
I038889	0.556	1.1069	0	0
I038890	0.8109	0.8118	0	3
I038891	0.7032	1.1701	0	1
I038892	0.7971	0.6729	0	3
I038893	0.8145	1.0473	1	3
I038894	1.0201	1.3333	0	3
I038895	1.3897	0.9954	1	3
I038896	2.1107	2.8303	0	3
I038897	0.6046	0.722	1	1
I038898	0.976	1.3389	0	3
I038899	0.3679	0.4862	0	1
I038900	0.8253	1.0821	0	3
I038901	0.8413	0.858	0	3
I038902	1.4267	0.564	0	3
I038903	1.1854	1.3494	0	3
I038904	0.8838	0.8085	0	3
I038905	0.9529	0.993	0	3
I038906	1.1485	1.0079	0	3
I038907	1.011	1.3501	0	3
I038908	1.3942	1.2254	0	3
I038909	2.0194	1.9323	0	3
I038968	0.8042	0.6581	0	3
I038969	0.7331	1.0138	0	3
I038971	0.9765	0.9312	1	3
I038973	0.8567	0.8936	0	3
I038988	0.8215	0.6858	0	3
I038989	1.1151	1.8458	0	3
I038990	1.4485	1.8117	0	3
I038991	1.259	0.8539	0	3
I038992	1.2262	1.3188	0	3
I038993	0.8919	1.4073	0	3
I039010	0.5272	1.1812	1	3
I039011	0.5032	0.6461	1	0
I039012	1.9515	0.9735	0	3
I039013	1.2037	1.5242	0	3
I039014	0.994	0.9432	0	3
I039015	0.61	1.0816	0	1
I039016	1.5089	1.4938	0	3
I039017	0.05085	0.3049	1	0
I039018	0.08926	0.07801	0	0
I039019	0.3744	0.2908	1	0
I039020	0.05601	0.1485	1	0
I039021	0.7855	0.3243	1	0
I039022	0.6336	0.7094	1	0
I039023	0.1023	0.162	1	0
I039024	0.7228	1.0502	0	3
I039025	0.7963	0.7741	0	3
I039026	1.2178	1.1963	0	3
I039028	1.8418	0.6995	0	3
I039029	0.8905	0.9291	0	3
I039030	1.3226	1.3177	0	3
I039032	0.8492	0.9274	0	3
I039033	0.9444	1.1413	0	3
I039034	0.8122	1.0329	0	3
I039035	0.8492	1.1105	0	3
I039036	0.2272	0.1441	0	0
I039037	0.5003	0.7434	1	0
I039038	0.5098	0.9388	1	0
I039039	0.2414	0.2528	1	0
I039191	0.7673	0.9411	1	3
I039193	1.0784	0.6409	0	3
I039194	2.1847	1.1374	1	3
I039195	0.9667	0.6596	0	3
I039197	1.8224	1.4769	0	3
I039198	1.4794	1.032	0	1
I039200	1.5733	1.3743	0	3
I039201	0.6524	0.3194	0	0
I039202	0.477	0.1785	0	0
I039686	0.3008	0.4077	1	0
I039687	0.92	0.8415	1	3
I039688	0.8388	0.9641	1	3
I047694	0.9269	1.0196	0	3
I047695	1.6839	3.3933	1	3
I047696	1.3602	1.5801	0	3
I047697	1.0298	1.0318	0	3
I047698	1.2485	1.4179	0	3
I047699	2.4443	0.7958	0	3
I049332	0.8863	1.0885	0	3
I049333	1.1339	1.0261	0	3
I049334	1.2968	2.1135	0	3
I049335	0.8468	1.1235	0	3
I049336	1.2187	1.0531	0	3
I049337	0.8651	0.8823	0	3
I049339	1.5152	0.8683	0	3
I049340	0.8136	1.1101	0	3
I049341	1.6672	1.4976	0	3
